%freq	 restricted cosi ULs
601.5	 7.265099645254025e-25
602.5	 7.2763667002518e-25
603.5	 7.304992470634672e-25
604.5	 7.309820186948618e-25
605.5	 7.316698903222577e-25
606.5	 7.356821296442126e-25
607.5	 7.325980785262017e-25
608.5	 7.328892322294321e-25
609.5	 7.345355567911094e-25
610.5	 7.370599997318624e-25
611.5	 7.379774575780672e-25
612.5	 7.382174860379217e-25
613.5	 7.390082527317995e-25
614.5	 7.401576348037164e-25
615.5	 7.409005445011524e-25
616.5	 7.419451410411913e-25
617.5	 7.437253739878948e-25
618.5	 7.45349761510965e-25
619.5	 7.678082067581479e-25
620.5	 7.6277091861033925e-25
621.5	 7.479941774591202e-25
622.5	 7.467260638367211e-25
623.5	 7.468098056682007e-25
624.5	 7.470563048551016e-25
625.5	 7.477880293133628e-25
626.5	 7.486160877164616e-25
627.5	 7.4981044143866705e-25
628.5	 7.509653292366813e-25
629.5	 7.58414657184993e-25
630.5	 7.534391485781694e-25
631.5	 7.537829200555283e-25
632.5	 7.551408342250446e-25
633.5	 7.567577478566111e-25
634.5	 7.578448249128586e-25
635.5	 7.598324240765417e-25
636.5	 7.620948234961668e-25
637.5	 7.639115124069894e-25
638.5	 7.655967640241518e-25
639.5	 7.671674976710267e-25
640.5	 7.698923632650783e-25
641.5	 7.723220457881114e-25
642.5	 7.742956273725071e-25
643.5	 7.7554340539735645e-25
644.5	 7.763202232487241e-25
645.5	 7.779261035623241e-25
646.5	 7.792598644700209e-25
647.5	 7.809768176199577e-25
648.5	 7.820481491914122e-25
649.5	 7.82755803061804e-25
650.5	 7.844517967836776e-25
651.5	 7.8619264743918405e-25
652.5	 7.880496900708979e-25
653.5	 7.8861175207260165e-25
654.5	 7.895196717472275e-25
655.5	 7.8982423254854e-25
656.5	 7.906150993006079e-25
657.5	 7.916542992390201e-25
658.5	 7.924043830062891e-25
659.5	 7.955186628203421e-25
660.5	 7.930475891937824e-25
661.5	 7.951961427843136e-25
662.5	 7.975862978270676e-25
663.5	 7.99052334413354e-25
664.5	 8.009959017959338e-25
665.5	 8.035972662301847e-25
667.5	 8.084798515302359e-25
668.5	 8.090611945960119e-25
669.5	 8.1204850960617075e-25
670.5	 8.13956668634601e-25
671.5	 8.166704875526229e-25
672.5	 8.20525241540821e-25
673.5	 8.226743890853817e-25
674.5	 8.248770795748489e-25
675.5	 8.28019964910301e-25
676.5	 8.32193631308503e-25
677.5	 8.346869611691162e-25
678.5	 8.375951220072977e-25
679.5	 8.403747708785374e-25
680.5	 8.4389681080012e-25
681.5	 8.471648582713525e-25
682.5	 8.506846458900381e-25
683.5	 8.544194629388164e-25
685.5	 8.625358174952775e-25
686.5	 8.682199144155264e-25
687.5	 8.68737608497541e-25
688.5	 8.7299972133376e-25
689.5	 8.716979739787284e-25
690.5	 8.792579094373217e-25
691.5	 8.846231703932465e-25
692.5	 8.913790314537375e-25
693.5	 9.133116920442423e-25
694.5	 9.040970725046752e-25
695.5	 8.950582794143892e-25
696.5	 8.935587454444e-25
697.5	 8.927226045219604e-25
698.5	 8.9101653288737e-25
699.5	 8.895106478307632e-25
700.5	 8.88976349850671e-25
701.5	 8.899786006816688e-25
702.5	 8.891469872851633e-25
703.5	 8.887515873223678e-25
704.5	 8.887349036740229e-25
705.5	 8.8919174448021e-25
706.5	 8.873002440383339e-25
707.5	 8.859325599638155e-25
708.5	 8.839532967109322e-25
709.5	 8.819824498872137e-25
710.5	 8.793781023756084e-25
711.5	 8.773411297037755e-25
712.5	 8.755723040400194e-25
713.5	 8.738084057994082e-25
714.5	 8.729299405790192e-25
715.5	 8.716291982424078e-25
716.5	 8.716285756347564e-25
717.5	 8.707818641868015e-25
718.5	 8.700949607457381e-25
719.5	 8.713015705870377e-25
720.5	 8.67736409581253e-25
721.5	 8.674376941832383e-25
722.5	 8.680828120130142e-25
723.5	 8.694715180034042e-25
724.5	 8.703231222215913e-25
725.5	 8.70562693954712e-25
726.5	 8.717493496843119e-25
727.5	 8.725747215110772e-25
728.5	 8.73810511862972e-25
729.5	 8.745936531371484e-25
730.5	 8.761393146935273e-25
731.5	 8.766016996191696e-25
732.5	 8.758858366727782e-25
733.5	 8.75358643403938e-25
734.5	 8.765765325798903e-25
735.5	 8.765830742220001e-25
736.5	 8.774484105927173e-25
737.5	 8.784964735221546e-25
738.5	 8.793636490352594e-25
739.5	 8.804043668967453e-25
740.5	 8.812763910132629e-25
741.5	 8.826083845695915e-25
742.5	 8.836652524264903e-25
743.5	 8.854364118429257e-25
744.5	 8.883611573566153e-25
745.5	 8.886800076902838e-25
746.5	 8.948855646084591e-25
747.5	 8.925847119399128e-25
748.5	 8.909349080183653e-25
749.5	 8.926105758125802e-25
750.5	 8.938005848088995e-25
